"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"87C76866-6376-4236-9BB9-CBF80F0D1360","Update SQL server firewall rules","Started","Administrative","Informational","2024-07-06T05:30:20.875Z","fbf69640-cc5e-44b7-8568-908cc461fa74","","MICROSOFT.SQL/servers","COE","/SUBSCRIPTIONS/FBF69640-CC5E-44B7-8568-908CC461FA74/RESOURCEGROUPS/COE/PROVIDERS/MICROSOFT.SQL/SERVERS/COE-DE"
"87C76866-6376-4236-9BB9-CBF80F0D1360","Update SQL server firewall rules","Succeeded","Administrative","Informational","2024-07-06T05:30:20.875Z","fbf69640-cc5e-44b7-8568-908cc461fa74","","MICROSOFT.SQL/servers","COE","/SUBSCRIPTIONS/FBF69640-CC5E-44B7-8568-908CC461FA74/RESOURCEGROUPS/COE/PROVIDERS/MICROSOFT.SQL/SERVERS/COE-DE"
"E46A49B6-CFD0-4642-9C18-AAA9C811C528","Delete server firewall rule","Succeeded","Administrative","Informational","2024-07-06T05:30:17.627Z","fbf69640-cc5e-44b7-8568-908cc461fa74","","MICROSOFT.SQL/servers","COE","/SUBSCRIPTIONS/FBF69640-CC5E-44B7-8568-908CC461FA74/RESOURCEGROUPS/COE/PROVIDERS/MICROSOFT.SQL/SERVERS/COE-DE"
"E46A49B6-CFD0-4642-9C18-AAA9C811C528","Delete server firewall rule","Started","Administrative","Informational","2024-07-06T05:30:17.627Z","fbf69640-cc5e-44b7-8568-908cc461fa74","","MICROSOFT.SQL/servers","COE","/SUBSCRIPTIONS/FBF69640-CC5E-44B7-8568-908CC461FA74/RESOURCEGROUPS/COE/PROVIDERS/MICROSOFT.SQL/SERVERS/COE-DE"
"236E7E6B-AA4B-4C35-996D-12FBF026EDCE","Update SQL server firewall rules","Started","Administrative","Informational","2024-07-06T05:30:17.627Z","fbf69640-cc5e-44b7-8568-908cc461fa74","","MICROSOFT.SQL/servers","COE","/SUBSCRIPTIONS/FBF69640-CC5E-44B7-8568-908CC461FA74/RESOURCEGROUPS/COE/PROVIDERS/MICROSOFT.SQL/SERVERS/COE-DE"
"236E7E6B-AA4B-4C35-996D-12FBF026EDCE","Update SQL server firewall rules","Succeeded","Administrative","Informational","2024-07-06T05:30:17.627Z","fbf69640-cc5e-44b7-8568-908cc461fa74","","MICROSOFT.SQL/servers","COE","/SUBSCRIPTIONS/FBF69640-CC5E-44B7-8568-908CC461FA74/RESOURCEGROUPS/COE/PROVIDERS/MICROSOFT.SQL/SERVERS/COE-DE"
"581dd586-13d8-4561-adc0-da5a177915ad","Update SQL server firewall rules","Succeeded","Administrative","Informational","2024-07-06T05:29:57.031Z","fbf69640-cc5e-44b7-8568-908cc461fa74","koushickmondal2021@gmail.com","Microsoft.Sql/servers/firewallRules","COE","/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Sql/servers/coe-de/firewallRules/ClientIPAddress_2024-7-6_10-59-33"
"581dd586-13d8-4561-adc0-da5a177915ad","Update SQL server firewall rules","Started","Administrative","Informational","2024-07-06T05:29:56.499Z","fbf69640-cc5e-44b7-8568-908cc461fa74","koushickmondal2021@gmail.com","Microsoft.Sql/servers/firewallRules","COE","/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Sql/servers/coe-de/firewallRules/ClientIPAddress_2024-7-6_10-59-33"
"196f28c3-8147-46a4-b774-d54b938f04da","Update SQL server firewall rules","Succeeded","Administrative","Informational","2024-07-06T05:29:56.109Z","fbf69640-cc5e-44b7-8568-908cc461fa74","koushickmondal2021@gmail.com","Microsoft.Sql/servers/firewallRules","COE","/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Sql/servers/coe-de/firewallRules/AllowAllWindowsAzureIps"
"196f28c3-8147-46a4-b774-d54b938f04da","Delete server firewall rule","Started","Administrative","Informational","2024-07-06T05:29:55.334Z","fbf69640-cc5e-44b7-8568-908cc461fa74","koushickmondal2021@gmail.com","Microsoft.Sql/servers/firewallRules","COE","/subscriptions/fbf69640-cc5e-44b7-8568-908cc461fa74/resourceGroups/COE/providers/Microsoft.Sql/servers/coe-de/firewallRules/query-editor-457f80"
